Outlet,Keyword,Count
Times of India,Bollywood,185498
Times of India,Red Carpet,10327
Times of India,Filmfare,5839
Times of India,Box Office,44558
Times of India,Reality TV,18757
Times of India,Influencers,108079
Times of India,Engineering,299081
Times of India,Medicine,108981
Times of India,UPSC,6577
Times of India,MBA,18204
Times of India,Astronomy,3434
Times of India,Nanotech,155
Times of India,Neurotech,8
Times of India,Genomics,7035
Times of India,Ethnomusic,2
Times of India,Aerospace,7730
Times of India,Cyberlaw,50
Times of India,Biomimetics,43
Times of India,Cartography,144
Times of India,Gastronomy,331
